GRB,Redshift,Photons,Correlation,Significance,P_value,RANSAC_slope,RANSAC_inliers,RANSAC_inlier_ratio,E_QG_GeV,E_QG_Planck,Significant
GRB111228A,0.714,1100,0.026715395574379186,0.885559640345196,0.37075,3.545848701716418,556,0.5054545454545455,0.004930498019144811,4.0413918189711563e-22,False
GRB120119A,1.728,1100,-0.006488515089141508,0.21500850094070806,0.81575,-0.1941813513725967,645,0.5863636363636363,0.34680275987064796,2.842645572710229e-20,False
GRB120326A,1.798,1100,0.022548561090657414,0.7473610103712407,0.4302,1.3772730833927058,632,0.5745454545454546,0.05218182903450852,4.277199101189223e-21,False
GRB120422A,0.28,200,-0.04486857171581451,0.6319932490330321,0.501,-0.24529147163919104,98,0.49,0.020873126838796954,1.7109120359669633e-21,False
GRB120624B,2.197,1100,0.06337010749073084,2.104066118064857,0.0373,-0.06557525861921205,602,0.5472727272727272,1.530152235526696,1.254223143874341e-19,False
GRB120729A,0.8,1100,0.0015434216467008033,0.05114300878386124,0.9561,7.237536189699325,538,0.4890909090909091,0.002842324795654416,2.329774422667554e-22,False
GRB120811C,2.671,1100,0.0037683414745052065,0.12486896266344748,0.89995,0.11702346285056124,654,0.5945454545454546,1.1969810841048756,9.811320361515373e-20,False
GRB120909A,3.93,1100,0.01771269834948842,0.5870215367751772,0.55995,12.06144670934027,552,0.5018181818181818,0.02294785131371899,1.880971419157294e-21,False
GRB121024A,2.298,1100,0.007625264470084211,0.2526787428371921,0.7959,-0.4149035543814918,581,0.5281818181818182,0.26094890590375297,2.1389254582274833e-20,False
GRB121027A,1.773,1100,-0.014430426662351585,0.47821761029687165,0.6269,3.426669305483242,577,0.5245454545454545,0.020496908896063898,1.6800744996773686e-21,False
GRB121128A,2.2,1100,-0.0033899614351137423,0.11233068910044551,0.90855,-0.2910009260883184,595,0.5409090909090909,0.34560518388489697,2.832829376105713e-20,False
GRB121211A,1.023,1100,0.07013417197146374,2.329708497880937,0.02375,-0.7178267980624082,602,0.5472727272727272,0.04118639772129212,3.375934239450174e-21,False
GRB130215A,0.597,1100,-0.012771693690347162,0.42323842275328055,0.6631,1.9913756859343965,631,0.5736363636363636,0.006839557531826403,5.606194698218363e-22,False
GRB130420A,1.297,1100,-0.05088284673285722,1.688245139099572,0.0801,-3.8603875346687015,547,0.49727272727272726,0.01102483317781231,9.036748506403533e-22,False
GRB130505A,2.27,1100,-0.03658377783612124,1.2130551325064696,0.173,8.398196384512921,561,0.51,0.012626690746001026,1.0349746513115596e-21,False
GRB130518A,2.488,1100,-0.009157763394751212,0.3034651336774707,0.7475,2.3412706915499104,642,0.5836363636363636,0.052951367888270894,4.340276056415647e-21,False
GRB130606A,5.91,1100,-0.022890032675103204,0.7586848076335183,0.42885,-5.099370781355179,615,0.5590909090909091,0.11440655202099018,9.377586231228703e-21,False
GRB130610A,2.092,1100,-0.039452168335926706,1.308308897163022,0.1727,1.1268512221283453,475,0.4318181818181818,0.0820042848219973,6.721662690327648e-21,False
GRB130612A,2.006,200,0.01344737085774597,0.18923839152954589,0.84785,0.02073221740989855,118,0.59,4.155048624342636,3.405777560936587e-19,False
GRB130701A,1.155,200,-0.020171766046089074,0.28389967338410776,0.7773,-0.08412147559329981,106,0.53,0.4226923000246577,3.4646909838086697e-20,False
GRB130907A,1.238,1100,-0.04473947135666886,1.4839767614966308,0.12045,4.822892186276273,545,0.4954545454545455,0.008206824254553479,6.726905126683179e-22,False
GRB131011A,1.874,1100,-0.01997419473392044,0.6619986470544593,0.49455,2.325646937552962,601,0.5463636363636364,0.033083734453365855,2.7117815125709718e-21,False
GRB131108A,2.4,1100,0.007889824135038888,0.2614460053461693,0.78805,-0.031229463044379617,626,0.5690909090909091,3.732738805203633,3.0596219714783875e-19,False
GRB131231A,0.644,1100,0.03687330512207254,1.2226683784369166,0.2069,2.1936746292429734,582,0.5290909090909091,0.006894732609101423,5.651420171394609e-22,False
GRB140206A,2.73,1100,0.004307976104612344,0.1427507786241724,0.8855,8.187538615101444,554,0.5036363636363637,0.01776724444776223,1.4563315121116583e-21,False
GRB140419A,3.956,1100,-0.03941318917072367,1.3070142618686194,0.17965,0.17932084171547857,654,0.5945454545454546,1.5619199492962432,1.2802622535215109e-19,False
GRB140423A,3.26,1100,0.028358117859995254,0.9400550126771798,0.3312,-0.28753822961473136,563,0.5118181818181818,0.6899753329500273,5.65553551598383e-20,False
GRB140506A,0.889,1100,-0.02016319831032638,0.6682652707544017,0.50205,-0.18480910057924957,675,0.6136363636363636,0.12981124806520292,1.0640266234852697e-20,False
GRB140508A,1.027,1100,0.035036354603690034,1.1616807833019207,0.2022,0.7443785887557139,588,0.5345454545454545,0.039951425475572476,3.274707006194465e-21,False
GRB140512A,0.725,1100,0.024657447221996226,0.817299711668245,0.4035,16.20030662556782,527,0.47909090909090907,0.0011028230416561776,9.039533128329325e-23,False
GRB140629A,2.275,1100,-0.02135081128905542,0.7076435666652784,0.43755,0.5036862822453312,613,0.5572727272727273,0.21131705141049945,1.7321069787745857e-20,False
GRB140703A,3.14,1100,0.020770740382099976,0.6884094924335763,0.4818,3.4633011705551975,600,0.5454545454545454,0.05362183716722527,4.3952325546905956e-21,False
GRB140709A,0.489,1100,0.005801880958363327,0.19225484514308433,0.83875,6.947957460323809,589,0.5354545454545454,0.0014970915741536217,1.2271242411095259e-22,False
GRB140710A,0.558,1100,0.0323928711498682,1.0739364563245177,0.248,0.6729960644206021,589,0.5354545454545454,0.01845402428166937,1.5126249411204403e-21,False
GRB140801A,1.32,1100,0.0067516117353236356,0.22372706646819357,0.82475,0.15022066004596643,627,0.57,0.2912287258968553,2.3871207040725842e-20,False
GRB140808A,3.29,1100,-0.05124653984983506,1.7003437965095116,0.0749,-0.025221523961205944,590,0.5363636363636364,7.994362287946348,6.552755973726515e-19,False
GRB140903A,0.351,200,0.00915531195508714,0.12883205788847354,0.88685,0.03734627617680834,86,0.43,0.18139157885322904,1.486816220108435e-20,False
GRB141004A,0.573,200,-0.0015737443050454314,0.02214457269338139,0.98285,0.15522258654267132,107,0.535,0.08295267369410102,6.799399483123034e-21,False
GRB141028A,2.33,1100,0.02309556401689248,0.7655007156029747,0.41495,-0.19591725467835888,604,0.5490909090909091,0.5657563380693501,4.6373470333553286e-20,False
GRB141109A,2.994,1100,0.011569517673708347,0.38339415873208715,0.69315,1.1499931547710962,567,0.5154545454545455,0.14854791526849473,1.2176058628565141e-20,False
GRB141121A,1.47,1100,0.009751066955551618,0.3231275268625648,0.73805,7.260494685762742,595,0.5409090909090909,0.007144141307852339,5.855853531026507e-22,False
GRB141207A,2.04,1100,-0.0007598624276762531,0.025178871780268564,0.98025,7.305054939784814,525,0.4772727272727273,0.0121278055325475,9.940824207006148e-22,False
GRB150206A,2.087,1100,-0.03279119831767039,1.0871565174381284,0.2574,-0.3860366941238693,619,0.5627272727272727,0.23841438236559911,1.9542162488983532e-20,False
GRB150314A,1.758,1100,-0.02880875146791923,0.9550055641596809,0.3072,1.9295029333251201,557,0.5063636363636363,0.03589795009051114,2.9424549254517325e-21,False
GRB150403A,2.06,1100,0.009853568461248914,0.3265245148625543,0.73015,0.9882049209922963,607,0.5518181818181818,0.09112627012725692,7.469366403873519e-21,False
GRB150514A,0.807,1100,-0.029777970209424735,0.9871630633559584,0.31255,0.620424296616118,541,0.4918181818181818,0.033577228817520455,2.7522318702885618e-21,False
GRB150727A,0.313,1100,0.02364488994188854,0.7837181483816663,0.41415,1.2222253963142997,514,0.4672727272727273,0.004803521291563776,3.9373125340686693e-22,False
GRB150821A,0.755,1100,0.037017077751358145,1.227442210941607,0.209,0.5064146407423247,607,0.5518181818181818,0.03737832015220121,3.0637967337869842e-21,False
GRB151027A,4.063,1100,-0.014763987075854324,0.4892740296540995,0.62285,-0.6100265900336874,603,0.5481818181818182,0.48173471536389467,3.948645207900776e-20,False
GRB151215A,2.59,1100,-0.0010735675639625378,0.03557384446120087,0.96935,-0.1892209923641303,623,0.5663636363636364,0.7019834234057211,5.75396248693214e-20,False
GRB160131A,0.972,200,-0.05568382413266437,0.7847584490708942,0.3517,0.023635810196329696,104,0.52,1.1585229507250274,9.496089760041209e-20,False
GRB160227A,2.38,1100,0.03100330395492706,1.027822147302477,0.2727,4.740862364564104,610,0.5545454545454546,0.024240315614091075,1.9869111159091044e-21,False
GRB160509A,1.17,1100,-0.012408716778116929,0.41120792906960624,0.66585,0.1940641851994065,660,0.6,0.18689692774960787,1.5319420307344908e-20,False
GRB160625B,1.406,1100,-0.0013037945161079659,0.04320268008762891,0.96695,-1.5830355509340701,613,0.5572727272727273,0.03052756998597642,2.5022598349161e-21,False
GRB160804A,0.736,1100,2.78050611525588e-05,0.0009213508159611008,0.99935,-0.4792794152445707,613,0.5572727272727273,0.03808383882017092,3.121626132800895e-21,False
GRB161014A,2.823,200,-0.06988585340500883,0.9857913897501082,0.3159,0.5607206136426972,101,0.505,0.2749606931156499,2.2537761730790978e-20,False
GRB161219B,0.1475,200,0.2026868025894359,2.912509279672055,0.01525,0.06429191813323695,118,0.59,0.03760887058246633,3.0826943100382236e-21,False
GRB170202A,3.645,1100,-0.006770374028622223,0.2243488180080635,0.82435,0.6686020797081502,610,0.5545454545454546,0.3617574534315905,2.965225028127791e-20,False
GRB170405A,3.91,1100,0.042978428757019106,1.4254539034932852,0.13135,6.177943935808343,555,0.5045454545454545,0.04439317907029315,3.63878516969616e-21,False
GRB170519A,0.818,200,-0.014438471720289605,0.203188486315339,0.84105,0.004667546547030078,108,0.54,4.551562230256997,3.7307887133254075e-19,False
GRB170531B,2.366,1100,0.00010314406626206967,0.0034177903641161526,0.9973,0.043638892444450614,574,0.5218181818181818,2.607096413934488,2.1369642737167932e-19,False
GRB170607A,0.557,1100,0.022308567527446418,0.7394025592919041,0.4367,0.29289915672824945,627,0.57,0.0422987610034881,3.467111557662959e-21,False
GRB170705A,2.01,1100,0.01985088262855648,0.6579101354244415,0.50025,-0.4127786698999166,654,0.5945454545454546,0.20938581933256395,1.716277207643967e-20,False
GRB170817A,0.0099,200,-0.08497465643324789,1.2000398116191373,0.1442,0.12308614198551633,89,0.445,0.001160396385667211,9.511445784157467e-23,False
GRB171010A,0.3285,1100,-0.0376470601036667,1.2483610757034573,0.18245,5.233181003008362,539,0.49,0.001191332902626864,9.765023792023475e-23,False
GRB171205A,0.0368,1100,0.016008578599364876,0.5305295749863244,0.5964,-0.01658629882888146,603,0.5481818181818182,0.03286209762960897,2.6936145598040137e-21,False
GRB180115A,2.487,1100,0.038519797565234784,1.2773432078691282,0.1855,-2.4331144777775835,601,0.5463636363636364,0.05091750910322497,4.173566319936473e-21,False
GRB180329B,1.998,1100,0.01597287418299739,0.5293460165493448,0.5956,0.11548334086308909,642,0.5836363636363636,0.7409855402064851,6.073651968905616e-20,False
GRB180720B,0.654,1100,0.008127182862930368,0.2693119006419763,0.79385,-1.695379516068171,511,0.46454545454545454,0.00911482388918066,7.47116712227923e-22,False
GRB180728A,0.117,200,0.052361886037427585,0.7378091911812533,0.47085,0.023093958085243536,113,0.565,0.08084303727383449,6.626478465068401e-21,False
GRB181020A,2.938,1100,-0.013626158081664761,0.4515594288265185,0.6485,4.623513520421021,541,0.4918181818181818,0.03574845947443772,2.930201596265387e-21,False
GRB181201A,0.45,1100,0.01025171339274511,0.3397194787274945,0.7319,-0.03355226995599154,509,0.4627272727272727,0.2778181203136157,2.2771977074886532e-20,False
GRB190114C,0.4245,1100,-0.034438913508093874,1.1418480371239845,0.22665,-0.15903257938617898,642,0.5836363636363636,0.05431953020785093,4.45242050884024e-21,False
GRB190829A,0.0785,1100,0.02054660326854897,0.6809777092722341,0.4773,-0.21361096262676854,598,0.5436363636363636,0.0056619786710054906,4.640966123774992e-22,False
GRB200415A,0.299,1100,0.014120751243347043,0.4679530421683446,0.63395,0.23491046620426076,567,0.5154545454545455,0.02362000213928771,1.9360657491219433e-21,False
GRB200829A,1.25,1100,0.043461988750506525,1.4415221900515818,0.1259,-0.5878089024434117,560,0.509090909090909,0.06835311826948627,5.602714612252973e-21,False
GRB201216C,1.1,1100,0.09165172078067675,3.049815326997686,0.0083,1.1974236321765992,608,0.5527272727272727,0.02755916879643902,2.2589482620031984e-21,True
GRB210619B,1.937,1100,-0.04965729866945118,1.6474808446472498,0.0843,0.007346962467796422,635,0.5772727272727273,11.06184849460125,9.067088930001024e-19,False
GRB211211A,1.8,1100,-0.030434879990452635,1.0089601100428283,0.2876,-1.916578336769994,588,0.5345454545454545,0.03756694867027531,3.0792580877274846e-21,False
